,Movie,Director,Running time,Actor 1,Genre,Budget,Box Office,Earnings,Oscar and Golden Globes awards,Release year,IMDb score
75,Autumn in New York,Joan Chen,103,J.K. Simmons,Drama,40000000,43000000,3000000,0.0,2000,5.5
76,AVP: Alien vs. Predator,Paul W.S. Anderson,109,Sanaa Lathan,Action,60000000,177000000,117000000,0.0,2004,5.6
77,Baby Mama,Michael McCullers,99,Tina Fey,Comedy,30000000,60000000,30000000,0.0,2008,6.0
78,Babylon A.D.,Mathieu Kassovitz,101,Vin Diesel,Action,70000000,37000000,-33000000,0.0,2008,5.6
79,Bad Boys II,Michael Bay,147,Will Smith,Action,130000000,273000000,143000000,0.0,2003,6.6
80,Bad Company,Joel Schumacher,116,Anthony Hopkins,Action,70000000,66000000,-4000000,0.0,2002,5.6
81,Bad Lieutenant: Port of Call New Orleans,Werner Herzog,122,Nicolas Cage,Crime,25000000,10000000,-15000000,0.0,2009,6.7
82,Bait,Kimble Rendall,93,Alex Russell,Action,30000000,10800000,-19200000,0.0,2012,5.2
83,Ballistic: Ecks vs. Sever,Wych Kaosayananda,91,Talisa Soto,Action,70000000,20000000,-50000000,0.0,2002,3.6
84,Bandidas,Joachim Rønning,93,Salma Hayek,Action,32000000,17000000,-15000000,0.0,2006,5.7
85,Bandits,Barry Levinson,123,Bruce Willis,Comedy,80000000,67000000,-13000000,0.0,2001,6.6
86,Bangkok Dangerous,Danny Pang,99,Nicolas Cage,Action,40000000,35000000,-5000000,0.0,2008,5.4
87,Barnyard,Steve Oedekerk,90,Rob Paulsen,Animation,51000000,117000000,66000000,0.0,2006,5.6
88,Basic Instinct 2,Michael Caton-Jones,116,Charlotte Rampling,Crime,70000000,39000000,-31000000,0.0,2006,4.2
89,Basic,John McTiernan,98,Connie Nielsen,Action,50000000,41300000,-8700000,0.0,2003,6.5
90,Batman v Superman: Dawn of Justice,Zack Snyder,183,Henry Cavill,Action,250000000,873000000,623000000,0.0,2016,6.9
91,Battle Los Angeles,Jonathan Liebesman,116,Noel Fisher,Sci-Fi,70000000,212000000,142000000,0.0,2011,5.8
92,Battlefield Earth,Roger Christian,119,Richard Tyson,Action,44000000,29000000,-15000000,0.0,2000,2.4
93,Battleship,Peter Berg,131,Liam Neeson,Action,209000000,303000000,94000000,0.0,2012,5.9
94,Be Cool,F. Gary Gray,118,Dwayne Johnson,Comedy,53000000,95000000,42000000,0.0,2005,5.7
95,Beautiful Creatures,Richard LaGravenese,124,Alden Ehrenreich,Drama,60000000,60000000,0,0.0,2013,6.2
96,Because of Winn-Dixie,Wayne Wang,106,Cicely Tyson,Comedy,14000000,50000000,36000000,0.0,2005,6.4
97,Bedazzled,Harold Ramis,93,Brendan Fraser,Comedy,48000000,90700000,42700000,0.0,2000,6.0
98,Bedtime Stories,Adam Shankman,99,Adam Sandler,Comedy,80000000,212000000,132000000,0.0,2008,6.1
99,Behind Enemy Lines,John Moore,106,Joaquim de Almeida,Action,40000000,91000000,51000000,0.0,2001,6.4
100,Bella,Alejandro Monteverde,91,Armando Riesco,Drama,3300000,5000000,1700000,0.0,2006,7.4
101,Beyond Borders,Martin Campbell,127,Angelina Jolie,Adventure,35000000,26000000,-9000000,0.0,2003,6.5
102,Big Miracle,Ken Kwapis,107,Ted Danson,Biography,40000000,24000000,-16000000,0.0,2012,6.5
103,Big Momma's House 2,John Whitesell,99,Chloë Grace Moretz,Comedy,40000000,141000000,101000000,0.0,2006,4.6
104,Big Momma's House,Raja Gosnell,99,Nia Long,Action,30000000,173000000,143000000,0.0,2000,5.1
105,Big Mommas: Like Father Like Son,John Whitesell,113,Brandon T. Jackson,Action,32000000,82000000,50000000,0.0,2011,4.4
106,Big Trouble,Barry Sonnenfeld,74,Zooey Deschanel,Comedy,40000000,50000000,10000000,0.0,2002,6.5
107,Bizarre,Étienne Faure,98,Rumi Missabu,Drama,500000,1000000,500000,0.0,2015,4.3
108,Black Knight,Gil Junger,95,Tom Wilkinson,Adventure,50000000,39000000,-11000000,0.0,2001,4.8
109,Black Mass,Scott Cooper,123,Johnny Depp,Biography,53000000,99300000,46300000,0.0,2015,7.0
110,Blackhat,Michael Mann,133,Chris Hemsworth,Action,70000000,20000000,-50000000,0.0,2015,5.4
111,Blade II,Guillermo del Toro,117,Norman Reedus,Action,54000000,155000000,101000000,0.0,2002,6.7
112,Blade: Trinity,David S. Goyer,122,Ryan Reynolds,Action,65000000,132000000,67000000,0.0,2004,5.9
113,Blades of Glory,Josh Gordon,93,Will Ferrell,Comedy,61000000,146000000,85000000,0.0,2007,6.3
114,Blended,Frank Coraci,117,Bella Thorne,Comedy,40000000,128000000,88000000,0.0,2014,6.5
115,Bless the Child,Chuck Russell,107,Rufus Sewell,Crime,40000000,48000000,8000000,0.0,2000,5.1
116,Blood Work,Clint Eastwood,110,Clint Eastwood,Action,50000000,31600000,-18400000,0.0,2002,6.4
117,BloodRayne,Uwe Boll,92,Meat Loaf,Action,25000000,28000000,3000000,0.0,2005,2.9
118,Blow,Ted Demme,124,Johnny Depp,Biography,30000000,83000000,53000000,0.0,2001,7.6
119,Blue Crush,John Stockwell,104,Faizon Love,Drama,30000000,51000000,21000000,0.0,2002,5.6
120,Body of Lies,Ridley Scott,128,Leonardo DiCaprio,Action,70000000,119000000,49000000,0.0,2008,7.1
121,Boiler Room,Ben Younger,120,Vin Diesel,Crime,8000000,28000000,20000000,0.0,2000,7.0
122,Bon Cop Bad Cop,Erik Canuel,116,Colm Feore,Action,8000000,11000000,3000000,0.0,2006,7.0
123,Born of War,Vicky Jewson,109,James Frain,Action,5000000,5000000,0,0.0,2014,4.4
124,Bride Wars,Gary Winick,89,Anne Hathaway,Comedy,30000000,114000000,84000000,0.0,2009,5.4
125,Bridget Jones: The Edge of Reason,Beeban Kidron,108,Colin Firth,Comedy,40000000,40700000,700000,0.0,2004,5.9
126,Bringing Down the House,Adam Shankman,105,Angus T. Jones,Comedy,33000000,132000000,99000000,0.0,2003,5.5
127,Broken City,Allen Hughes,109,Alona Tal,Crime,35000000,35000000,0,0.0,2013,6.2
128,Broken Horses,Vidhu Vinod Chopra,101,María Valverde,Action,15000000,2000000,-13000000,0.0,2015,5.7
129,Brooklyn's Finest,Antoine Fuqua,132,Don Cheadle,Crime,17000000,30000000,13000000,0.0,2009,6.7
